iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,config_id,threads
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,136,10
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,137,90
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,138,10
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,139,10
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,140,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,141,90
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,142,10
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,143,10
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,144,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,145,10
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,146,10
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,147,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,148,90
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,149,10
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,150,90
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,151,10
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,152,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,153,10
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,154,10
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,155,10
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,156,90
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,157,10
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,158,10
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,159,90
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,160,10
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,161,90
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,162,10
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,163,10
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,164,10
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,165,10
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,166,90
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,167,90
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,168,90
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,169,90
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,170,10
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,171,90
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,172,10
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,173,10
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,174,10
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,175,10
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,176,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,177,10
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,178,90
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,179,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,180,10
0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,181,10
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,182,90
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,183,90
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,184,90
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,185,90
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,186,10
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,187,90
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,188,90
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,189,10
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,190,90
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,191,90
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,192,90
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,193,10
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,194,90
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,195,90
0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,196,10
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,197,90
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,198,10
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,199,90
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,200,10
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,201,90
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,202,10
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,203,10
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,204,10
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,205,90
0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,206,10
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,207,10
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,208,90
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,209,90
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,210,10
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,211,90
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,212,90
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,213,90
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,214,90
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,215,10
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,216,90
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,217,10
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,218,10
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,219,90
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,220,10
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,221,10
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,222,10
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,223,90
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,224,10
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,225,90
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,226,90
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,227,90
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,228,10
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,229,90
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,230,90
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,231,10
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,232,10
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,233,10
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,234,10
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,235,10
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,236,10
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,237,90
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,238,10
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,239,90
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,240,90
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,241,10
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,242,10
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,243,10
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,244,10
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,245,90
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,246,10
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,247,90
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248,90
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,249,90
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,250,10
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,251,10
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,252,90
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,253,90
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,254,10
0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,255,10
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,256,10
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,257,10
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,258,90
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,259,90
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,260,90
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,261,10
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,262,90
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,263,90
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,264,90
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,265,10
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,266,10
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,267,90
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,268,10
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,269,90
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,270,10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,271,10
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,272,90
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,273,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,274,10
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,275,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,276,90
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,277,10
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,278,90
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,279,10
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,280,10
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,281,90
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,282,10
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,283,10
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,284,90
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,285,90
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,286,10
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,287,10
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,288,10
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,289,10
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,290,90
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,291,90
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,292,90
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,293,10
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,294,10
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,295,10
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,296,10
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,297,10
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,298,10
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,299,10
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,300,90
0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,301,10
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,302,90
0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,303,10
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,304,90
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,305,90
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,306,10
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,307,10
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,308,10
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,309,90
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,310,90
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,311,90
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,312,90
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,313,90
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,314,90
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,315,10
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,316,10
0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,317,10
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,318,10
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,319,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,320,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,321,90
0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,322,90
0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,323,10
0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,324,90
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,325,10
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,326,10
0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,327,10
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,328,90
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,329,10
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,330,10
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,331,90
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,332,90
0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,333,10
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,334,90
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,335,10
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,336,10
0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,337,10
0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,338,10
0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,339,90
0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,340,90
0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,341,10
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,342,10
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,343,90
0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,344,90
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,345,90
0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,346,90
0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,347,10
0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,348,10
0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,349,10
0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,350,90
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,351,10
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,352,10
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,353,10
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,354,10
0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,355,90
0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,356,10
0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,357,10
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,358,10
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,359,90
0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,360,10
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,361,90
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,362,90
