NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,config_id,Resampling,CBR,VBRRange
0,0,1,1,0,0,0,1,0,0,0,0,0,41,22,8,0
0,0,0,0,0,0,0,0,1,0,0,0,1,42,22,8,0
0,0,0,1,0,0,0,1,0,0,0,0,0,43,48,8,2
0,0,0,0,0,0,0,0,0,0,1,0,1,44,8,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,45,8,8,0
1,0,0,0,0,0,0,0,0,0,1,0,1,46,44,8,0
1,0,1,0,1,1,0,0,0,1,0,1,1,47,8,320,0
1,1,1,0,0,1,0,0,1,1,0,1,0,49,44,160,0
1,0,1,1,1,1,0,0,0,1,0,1,0,50,8,160,0
1,1,1,0,1,1,0,0,0,1,0,1,0,52,8,160,0
1,0,1,0,0,1,1,0,0,1,0,1,1,53,48,320,0
1,1,1,0,1,1,0,0,0,1,0,1,0,54,48,320,0
1,1,1,0,0,1,0,0,0,1,1,1,0,55,22,8,0
1,1,1,0,1,1,0,0,0,1,0,0,0,56,8,8,0
1,1,1,0,0,1,0,0,0,1,1,1,0,57,22,160,0
1,0,1,1,0,0,0,0,0,1,1,1,0,60,48,8,0
1,1,1,0,1,1,0,0,0,1,0,1,0,61,8,8,0
1,0,1,0,0,1,0,0,0,1,1,1,1,62,48,160,0
1,0,1,0,0,1,0,0,1,1,0,1,1,63,22,8,0
1,1,1,0,1,1,0,0,0,1,0,1,0,64,48,8,0
1,0,1,1,1,1,0,0,0,1,0,1,0,65,8,8,0
1,0,1,1,0,0,0,0,0,1,1,1,0,66,48,8,0
1,1,1,0,0,1,1,0,0,1,0,1,0,67,22,160,0
1,0,1,1,1,1,0,0,0,1,0,1,0,68,8,8,0
1,0,1,0,0,1,0,0,0,1,1,1,1,69,8,8,0
1,0,1,1,0,1,0,0,0,1,1,1,0,70,22,160,0
1,0,1,0,0,1,0,0,0,1,1,1,1,71,8,320,0
1,1,1,0,0,1,0,0,0,0,1,1,0,72,8,320,0
1,0,1,0,0,1,0,0,0,1,1,1,1,73,44,320,0
1,0,1,0,0,1,0,0,0,1,1,1,1,74,44,320,0
1,0,1,1,0,1,1,0,0,1,0,1,0,75,22,160,0
1,0,1,0,0,1,1,0,0,1,0,1,1,76,44,320,0
1,1,1,0,1,1,0,0,0,1,0,1,0,77,44,160,0
1,1,1,0,0,1,0,0,0,1,1,1,0,78,48,320,0
1,0,1,1,0,1,0,0,0,1,1,1,0,79,22,160,0
1,0,1,0,0,1,0,1,0,1,0,1,1,80,8,8,0
1,0,1,1,1,1,0,0,0,1,0,1,0,81,8,8,0
1,1,1,0,0,1,1,0,0,1,0,1,0,82,22,320,0
1,1,1,0,0,1,0,0,0,1,1,1,0,83,8,8,0
1,1,1,0,0,0,0,0,0,1,1,1,0,84,8,8,0
1,1,1,0,1,1,0,0,0,1,0,1,0,85,8,8,0
1,1,1,0,0,1,1,0,0,1,0,1,0,86,22,8,0
1,1,1,0,0,1,0,0,0,1,1,1,0,87,8,320,0
1,0,0,1,0,1,0,1,0,1,0,1,0,88,8,8,0
1,1,1,0,0,1,1,0,0,1,0,1,0,89,8,8,0
1,1,1,0,0,1,1,0,0,1,0,1,0,90,8,160,0
1,0,1,0,0,1,1,0,0,1,0,1,1,91,8,320,0
1,0,1,0,0,1,0,0,0,1,1,1,1,92,44,320,0
0,1,0,0,0,0,1,0,0,0,0,0,0,94,48,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,95,44,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,96,44,8,0
0,1,0,0,0,0,0,0,1,0,0,0,0,97,22,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,98,8,8,0
0,0,0,0,0,0,0,0,1,0,0,0,1,99,8,8,0
0,0,0,0,1,0,0,0,0,0,0,1,1,100,44,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,101,8,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,102,22,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,103,22,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,104,44,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,105,48,8,0
0,0,0,1,0,0,0,0,1,0,0,0,0,106,44,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,107,48,8,0
0,1,0,0,0,0,1,0,0,0,0,0,0,108,8,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,109,44,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,110,44,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,111,22,8,0
0,0,0,0,0,0,0,0,1,0,0,0,1,112,48,8,0
0,0,0,1,1,0,0,0,0,1,0,0,0,113,48,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,114,22,8,0
0,1,0,0,0,0,0,0,1,0,0,0,0,115,22,8,0
0,1,0,0,0,0,0,1,0,0,0,0,0,116,44,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,117,8,8,0
0,0,0,1,0,0,1,0,0,0,0,0,0,118,22,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,119,22,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,120,22,8,0
0,0,0,1,0,0,0,1,0,0,0,0,0,121,8,8,0
0,0,0,1,0,0,1,0,0,0,0,0,0,122,8,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,123,44,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,124,22,8,0
0,0,1,1,0,0,0,0,0,0,1,0,0,125,22,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,126,44,8,0
1,1,0,0,0,0,0,0,0,0,1,0,0,127,48,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,128,48,8,0
0,0,0,1,0,0,1,0,0,0,0,0,0,129,44,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,130,8,8,0
0,1,0,0,0,0,0,1,0,0,0,0,0,131,22,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,132,44,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,133,8,8,0
0,0,0,1,0,0,0,0,0,0,1,1,0,134,48,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,135,22,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,136,8,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,137,8,8,0
0,0,0,1,0,0,1,0,0,0,0,0,0,138,22,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,139,22,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,140,8,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,141,22,8,0
0,0,0,1,0,0,1,0,0,0,0,0,0,142,8,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,143,22,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,144,48,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,145,8,8,0
0,0,0,1,0,0,0,0,1,0,0,0,0,146,8,8,0
0,0,0,1,0,0,0,0,1,1,0,0,0,147,48,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,148,22,8,0
0,1,0,0,0,0,0,0,1,0,0,0,0,149,8,8,0
0,0,0,0,0,0,0,1,0,0,0,0,1,150,22,8,0
0,0,0,0,0,0,0,0,1,0,0,0,1,151,22,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,152,44,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,153,22,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,154,22,8,0
0,0,0,0,0,0,0,0,1,0,0,0,1,155,8,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,156,48,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,157,8,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,158,44,8,0
0,1,1,0,0,0,1,0,0,0,0,0,0,159,44,8,0
0,1,0,0,0,0,1,0,0,0,0,0,0,160,48,8,0
1,0,0,0,0,0,1,0,0,0,0,0,1,161,22,8,0
0,0,0,0,0,0,0,1,0,0,0,0,1,162,48,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,163,48,8,1
0,0,0,0,0,0,0,0,0,0,1,0,1,164,48,8,1
0,0,0,0,1,0,0,0,0,0,0,0,1,165,48,8,0
0,0,0,0,0,0,0,1,0,0,0,0,1,166,48,8,1
0,1,0,0,0,0,1,0,0,0,0,1,0,167,48,160,0
0,0,0,1,1,0,0,0,0,0,0,0,0,168,48,160,0
0,1,0,0,1,0,0,0,0,0,0,0,0,169,48,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,170,48,320,0
0,0,0,0,0,0,0,0,0,0,1,0,1,171,48,320,0
0,0,0,0,0,0,1,0,0,0,0,0,1,172,48,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,173,48,160,0
0,0,0,1,0,0,0,0,0,0,1,0,0,174,48,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,175,48,8,0
0,0,0,0,0,0,0,0,1,0,0,0,1,176,48,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,177,48,320,0
0,1,0,0,0,0,0,0,0,0,1,0,0,178,48,8,2
0,0,0,0,0,0,0,1,0,0,0,0,1,179,48,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,180,48,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,181,48,320,0
0,0,0,0,0,0,0,0,0,0,1,0,1,182,48,320,0
0,1,0,0,1,0,0,0,0,1,0,0,0,183,48,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,184,48,160,0
0,0,0,0,0,0,0,0,1,0,0,0,1,185,48,320,0
0,0,0,0,0,0,0,1,0,0,0,0,1,186,48,320,0
0,0,0,1,1,0,0,0,0,0,0,0,0,187,48,8,2
0,1,0,0,0,0,0,0,0,0,1,0,0,188,48,8,2
0,0,0,1,0,0,1,0,0,0,0,0,0,189,48,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,190,48,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,191,48,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,192,48,320,0
0,1,0,0,0,1,0,0,0,0,1,0,0,193,48,320,0
0,1,0,0,0,0,1,0,0,0,0,0,0,194,48,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,195,48,320,0
0,0,0,1,1,0,0,0,0,0,0,0,0,196,48,8,0
0,1,1,0,0,0,1,0,0,0,0,0,0,197,48,320,0
0,1,0,0,0,0,1,0,0,0,0,0,0,198,48,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,199,48,8,2
0,0,0,0,0,0,0,0,0,0,1,0,1,200,48,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,201,48,8,0
1,0,0,0,0,0,1,0,0,0,0,0,1,202,48,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,203,44,320,0
0,0,0,1,0,0,0,0,0,0,1,0,0,204,44,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,205,44,8,1
0,0,0,0,1,0,0,0,0,0,0,0,1,206,44,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,207,44,8,0
0,0,0,0,1,0,0,0,0,0,0,1,1,208,44,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,209,44,320,0
0,1,0,0,0,0,0,0,0,0,1,0,0,210,44,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,211,44,320,0
0,0,0,1,1,0,0,0,0,0,0,0,0,212,44,160,0
0,1,0,0,0,0,1,0,0,0,0,0,0,213,44,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,214,44,320,0
0,1,0,0,0,0,0,0,0,0,1,0,0,215,44,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,216,44,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,217,44,160,0
0,0,0,1,0,0,0,0,0,0,1,0,0,218,44,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,219,44,320,0
0,0,0,1,0,0,0,0,1,0,0,0,0,220,44,8,1
0,0,0,0,1,0,0,0,0,0,0,0,1,221,44,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,222,44,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,223,44,8,0
0,0,0,0,0,0,1,0,0,1,0,0,1,224,44,160,0
0,0,0,1,0,0,0,0,1,0,0,0,0,225,44,160,0
0,1,0,0,0,0,0,0,1,0,0,0,0,226,44,8,0
0,0,0,0,0,0,0,1,0,0,0,0,1,227,44,8,1
0,1,0,0,0,0,0,0,0,0,1,0,0,228,44,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,229,44,8,0
0,0,0,1,0,0,1,0,0,0,0,0,0,230,44,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,231,44,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,232,44,8,0
0,0,0,0,0,0,0,0,1,0,0,0,1,233,44,320,0
0,0,0,0,0,1,0,0,0,0,1,0,1,234,44,320,0
0,1,0,0,0,0,1,0,0,0,0,0,0,235,44,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,236,44,160,0
0,0,0,1,0,0,0,1,0,0,0,0,0,237,44,8,0
0,0,1,0,0,0,0,0,0,0,1,0,1,238,44,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,239,44,8,0
0,1,0,0,0,0,0,0,1,0,0,0,0,240,44,8,2
0,0,0,0,0,0,1,0,0,0,0,0,1,241,44,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,242,44,8,1
1,0,0,0,0,0,0,1,0,0,0,0,1,243,44,160,0
0,0,0,0,1,0,0,0,0,0,0,0,1,244,8,8,2
0,1,0,0,0,0,0,0,0,0,1,0,0,245,44,8,1
0,0,0,0,0,0,0,1,0,0,0,0,1,246,8,8,0
0,0,0,0,1,0,0,0,0,0,0,1,1,247,44,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,248,8,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,249,44,320,0
0,1,0,0,1,0,0,0,0,0,0,0,0,250,22,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,251,48,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,252,8,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,253,22,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,254,22,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,255,8,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,256,22,160,0
0,1,0,0,0,0,0,0,0,0,1,0,0,257,22,320,0
0,0,0,0,0,0,1,0,0,0,0,0,1,258,44,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,259,22,8,0
0,1,0,0,0,0,0,1,0,0,0,0,0,260,8,8,2
0,1,0,0,0,0,0,0,1,0,0,0,0,261,8,8,2
0,0,0,0,0,0,0,0,1,1,0,0,1,262,22,160,0
0,0,0,0,1,0,0,0,0,0,0,0,1,263,22,160,0
0,0,0,0,0,0,0,1,0,0,0,0,1,264,22,160,0
0,0,0,0,0,0,0,0,1,0,0,0,1,265,48,8,2
0,0,0,0,0,0,0,1,0,0,0,0,1,266,44,320,0
0,0,0,0,0,0,0,0,0,0,1,0,1,267,22,8,2
0,1,0,0,0,0,0,0,0,0,1,0,0,268,48,8,1
0,1,0,0,0,0,1,0,0,0,0,0,0,269,8,320,0
0,1,0,0,0,0,0,1,0,0,0,0,0,270,22,320,0
0,0,0,1,0,0,0,0,1,0,0,0,0,271,48,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,272,8,160,0
0,1,0,0,0,0,0,0,0,0,1,0,0,273,44,8,0
0,1,0,0,0,1,0,0,0,0,1,0,0,274,8,320,0
0,0,0,0,0,0,0,1,0,0,0,0,1,275,8,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,276,48,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,277,22,160,0
0,1,1,0,1,0,0,0,0,0,0,0,0,278,48,8,2
0,0,0,0,0,0,0,0,0,0,1,0,1,279,48,8,0
0,0,0,1,0,0,0,0,1,0,0,0,0,280,22,8,2
0,1,0,0,0,0,1,0,0,0,0,0,0,281,8,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,282,8,8,0
1,1,0,0,1,0,0,0,0,0,0,0,0,283,22,320,0
0,0,0,0,0,0,0,0,1,0,0,0,1,284,22,8,1
0,0,0,0,1,0,0,0,0,0,0,0,1,285,22,8,1
0,0,0,1,0,0,1,0,0,0,0,0,0,286,8,320,0
0,0,0,0,1,0,0,0,0,0,0,1,1,287,8,160,0
0,0,0,1,0,0,0,1,0,0,0,0,0,288,22,8,1
0,0,0,1,0,0,1,0,0,0,0,0,0,289,22,160,0
0,0,0,0,1,0,0,0,0,0,0,0,1,290,48,320,0
0,0,0,1,1,0,0,0,0,0,0,0,0,291,8,8,0
0,0,0,1,0,0,1,0,0,0,0,0,0,292,22,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,293,22,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,294,44,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,295,44,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,296,48,8,0
0,1,0,0,0,0,0,0,1,0,0,0,0,297,8,160,0
0,0,0,1,1,0,0,0,0,0,0,0,0,298,22,160,0
0,0,0,1,0,0,0,0,0,0,1,0,0,299,48,8,1
0,0,0,1,0,0,0,0,0,0,1,0,0,300,22,160,0
0,0,0,1,0,0,0,0,0,0,1,0,0,301,8,160,0
0,0,0,0,0,0,0,0,0,0,1,0,1,302,8,8,1
0,1,0,0,0,0,0,0,0,1,1,0,0,303,44,320,0
0,1,0,0,0,0,0,0,1,0,0,0,0,304,22,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,305,22,160,0
0,0,0,1,0,0,0,0,1,0,0,0,0,306,44,8,0
0,1,0,0,0,0,0,1,0,0,0,0,0,307,44,8,0
0,0,0,1,1,0,0,0,0,0,0,0,0,308,48,8,1
0,1,0,0,0,0,0,0,0,0,1,0,0,309,8,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,310,8,160,0
0,1,0,0,1,0,0,0,0,0,0,0,0,311,48,8,2
0,0,0,0,1,0,0,0,0,0,0,0,1,312,8,8,2
0,0,0,0,0,0,0,1,0,0,0,0,1,313,8,8,2
0,1,0,0,0,0,0,0,0,0,1,0,0,314,44,8,0
0,0,0,0,0,1,0,0,0,0,1,0,1,315,22,320,0
0,0,0,0,0,0,0,0,0,0,1,0,1,316,8,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,317,48,8,1
0,0,0,1,0,0,0,0,0,0,1,0,0,318,22,160,0
0,0,1,0,0,0,1,0,0,0,0,0,1,319,44,8,0
0,1,0,0,0,0,0,0,1,0,0,0,0,320,8,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,321,48,8,2
0,0,0,0,0,0,1,0,0,0,0,0,1,322,44,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,323,8,8,0
1,1,0,0,1,0,0,0,0,0,0,0,0,324,8,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,325,8,8,1
0,0,0,0,0,0,0,0,0,0,1,0,1,326,22,8,1
0,1,0,0,0,0,0,0,0,0,1,1,0,327,44,8,1
0,0,0,0,0,0,0,0,0,0,1,0,1,328,8,8,1
0,0,0,0,0,0,0,0,1,0,0,0,1,329,22,8,1
0,0,0,0,0,0,0,0,0,0,1,0,1,330,44,8,1
0,0,0,0,0,0,0,0,0,0,1,0,1,331,22,8,1
0,0,0,0,0,0,0,1,0,0,0,0,1,332,22,8,1
0,0,0,1,1,0,0,0,0,0,0,0,0,333,48,8,1
0,0,0,1,1,0,0,0,0,0,0,0,0,334,22,8,1
0,1,0,0,0,0,0,1,0,0,0,0,0,335,48,8,1
0,0,0,0,1,0,0,0,0,0,0,0,1,336,44,8,1
0,1,0,0,1,0,0,0,0,0,0,0,0,337,22,8,1
0,0,0,0,1,0,0,0,0,0,0,0,1,338,22,8,1
0,0,0,1,0,0,0,1,0,1,0,0,0,339,48,8,1
0,0,0,0,1,0,0,0,0,0,0,0,1,340,22,8,1
0,0,0,0,0,0,0,0,1,0,0,0,1,341,48,8,1
0,1,0,0,0,0,0,1,0,0,0,0,0,342,8,8,1
0,0,0,0,1,0,0,0,0,0,0,0,1,343,48,8,1
0,1,0,0,0,0,1,0,0,0,0,0,0,344,8,8,1
0,0,0,0,0,0,1,0,0,0,0,0,1,345,48,8,1
0,0,0,1,0,0,1,0,0,0,0,0,0,346,48,8,1
0,0,0,1,0,0,0,1,0,0,0,0,0,347,22,8,1
0,0,0,0,0,0,0,0,1,0,0,0,1,348,8,8,1
0,0,0,1,0,0,0,0,1,0,0,0,0,349,8,8,1
0,0,0,1,1,0,0,0,0,0,0,0,0,350,48,8,1
0,0,0,1,0,0,0,0,0,0,1,0,0,351,22,8,1
0,0,1,1,0,0,0,0,0,0,1,0,0,352,22,8,1
0,1,0,0,1,0,0,0,0,0,0,0,0,353,8,8,1
1,0,0,1,0,0,0,0,0,0,1,0,0,354,44,8,1
0,0,0,0,0,0,0,0,1,0,0,0,1,355,48,160,0
0,0,0,0,0,0,0,0,0,0,1,1,1,356,8,160,0
0,0,0,0,0,0,1,0,0,0,0,0,1,357,8,8,0
0,0,0,0,0,0,0,0,1,0,0,0,1,358,48,8,1
0,0,0,0,0,0,0,0,1,0,0,0,1,359,44,320,0
0,0,0,0,0,0,0,0,0,0,1,0,1,360,8,320,0
0,0,0,0,1,0,0,0,0,0,0,0,1,361,44,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,362,48,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,363,44,160,0
0,0,0,0,1,0,0,0,0,0,0,0,1,364,8,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,365,8,8,0
0,0,0,0,0,0,0,0,1,0,0,0,1,366,8,160,0
0,0,0,0,0,0,0,0,0,0,1,0,1,367,44,160,0
0,0,0,0,1,0,0,0,0,0,0,0,1,368,44,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,369,22,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,370,22,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,371,8,8,0
0,0,0,0,1,0,0,0,0,1,0,0,1,372,48,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,373,22,8,0
0,0,0,0,0,0,0,1,0,0,0,0,1,374,22,160,0
0,0,0,0,0,0,0,0,1,0,0,0,1,375,48,8,0
0,0,0,0,0,0,0,1,0,0,0,0,1,376,48,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,377,44,8,2
0,0,0,0,0,0,0,0,1,0,0,0,1,378,22,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,379,48,320,0
0,0,0,0,0,0,1,0,0,0,0,0,1,380,22,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,381,48,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,382,8,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,383,48,8,2
0,0,0,0,1,1,0,0,0,0,0,0,1,384,8,160,0
0,0,0,0,0,0,0,0,0,0,1,0,1,385,48,8,0
0,0,0,0,1,0,0,0,0,0,0,0,1,386,44,8,0
0,0,1,0,1,0,0,0,0,0,0,0,1,387,8,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,388,22,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,389,44,8,2
0,0,0,0,1,0,0,0,0,0,0,0,1,390,8,8,0
1,0,0,0,0,0,0,0,0,0,1,0,1,391,8,8,0
0,0,0,1,1,0,0,0,0,0,0,1,0,392,48,320,0
0,1,0,0,0,0,1,0,0,0,0,0,0,393,22,8,1
0,0,0,1,0,0,0,0,0,0,1,0,0,394,44,320,0
0,0,0,1,1,0,0,0,0,0,0,0,0,395,8,160,0
0,0,0,0,0,0,0,0,0,0,1,0,1,396,22,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,397,48,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,398,22,8,0
0,0,0,1,0,0,0,0,0,0,1,0,0,399,44,8,0
0,1,0,0,0,0,0,0,0,0,1,0,0,400,48,8,0
0,0,0,0,0,0,0,0,0,0,1,0,1,401,44,320,0
0,0,0,0,0,0,1,0,0,0,0,0,1,402,22,8,0
0,0,0,1,0,0,1,0,0,0,0,0,0,403,44,320,0
0,0,0,1,0,0,0,0,0,0,1,0,0,404,8,8,0
0,0,0,1,0,0,0,0,1,0,0,0,0,405,48,8,0
0,0,0,0,0,0,1,0,0,0,0,0,1,406,44,160,0
0,1,0,0,0,0,1,0,0,1,0,0,0,407,8,160,0
0,0,0,1,1,0,0,0,0,0,0,0,0,408,22,8,0
0,0,0,1,0,0,1,0,0,0,0,0,0,409,48,160,0
0,0,0,0,0,0,0,0,1,0,0,0,1,410,44,160,0
